timestamp,cpu,used_memory,total_memory
2026-05-07 13:56:41,14.256948,10.178097,31.680271
2026-05-07 13:56:40,13.535673,10.193378,31.680271
2026-05-07 13:56:39,10.907871,10.178089,31.680271
2026-05-07 13:56:38,12.6019,10.180901,31.680271
2026-05-07 13:56:37,11.508291,10.182777,31.680271
2026-05-07 13:56:36,10.8560915,10.184933,31.680271
2026-05-07 13:56:35,10.993409,10.180763,31.680271
2026-05-07 13:56:33,10.918962,10.18663,31.680271
2026-05-07 13:56:32,14.839537,10.193535,31.680271
2026-05-07 13:56:31,18.709723,10.198608,31.680271
